,financial_year,town,room_type,min_selling_price,max_selling_price,min_selling_price_less_ahg_shg,max_selling_price_less_ahg_shg,project_id
80,2012,Choa Chu Kang,4-room,223000.0,309000.0,213000.0,299000.0,24
81,2012,Choa Chu Kang,5-room,284000.0,385000.0,284000.0,385000.0,24
82,2012,Woodlands,4-room,248000.0,312000.0,238000.0,302000.0,25
83,2012,Woodlands,5-room,308000.0,381000.0,308000.0,381000.0,25
84,2012,Sengkang,3-room,151000.0,264000.0,121000.0,243000.0,26
85,2012,Sengkang,4-room,251000.0,403000.0,241000.0,393000.0,26
86,2012,Sengkang,5-room,304000.0,499000.0,304000.0,499000.0,26
87,2012,Yishun,3-room,170000.0,197000.0,140000.0,167000.0,27
88,2012,Yishun,4-room,264000.0,320000.0,254000.0,310000.0,27
89,2012,Yishun,5-room,331000.0,388000.0,331000.0,388000.0,27
90,2013,Punggol,2-room,81000.0,141000.0,21000.0,81000.0,28
91,2013,Punggol,3-room,176000.0,232000.0,126000.0,182000.0,28
92,2013,Punggol,4-room,279000.0,377000.0,244000.0,342000.0,28
93,2013,Punggol,5-room,365000.0,495000.0,355000.0,485000.0,28
94,2013,Choa Chu Kang,3-room,140000.0,172000.0,90000.0,122000.0,29
95,2013,Choa Chu Kang,4-room,240000.0,288000.0,205000.0,253000.0,29
96,2013,Choa Chu Kang,5-room,308000.0,372000.0,298000.0,362000.0,29
97,2013,Woodlands,2-room,73000.0,118000.0,13000.0,58000.0,30
98,2013,Woodlands,3-room,133000.0,183000.0,83000.0,133000.0,30
99,2013,Woodlands,4-room,223000.0,298000.0,188000.0,263000.0,30
100,2013,Woodlands,5-room,276000.0,369000.0,266000.0,359000.0,30
101,2013,Sembawang,2-room,70000.0,109000.0,10000.0,49000.0,31
102,2013,Sembawang,3-room,138000.0,177000.0,88000.0,127000.0,31
103,2013,Sembawang,4-room,225000.0,304000.0,190000.0,269000.0,31
104,2013,Sembawang,5-room,313000.0,381000.0,303000.0,371000.0,31
105,2013,Sengkang,2-room,76000.0,124000.0,16000.0,64000.0,32
106,2013,Sengkang,3-room,150000.0,189000.0,100000.0,139000.0,32
107,2013,Sengkang,4-room,251000.0,329000.0,216000.0,294000.0,32
108,2013,Sengkang,5-room,358000.0,425000.0,348000.0,415000.0,32
109,2013,Yishun,2-room,75000.0,118000.0,15000.0,58000.0,33
110,2013,Yishun,3-room,150000.0,234000.0,100000.0,184000.0,33
111,2013,Yishun,4-room,252000.0,320000.0,217000.0,285000.0,33
112,2013,Yishun,5-room,316000.0,393000.0,306000.0,383000.0,33
113,2014,Bukit Batok,2-room,80000.0,142000.0,20000.0,82000.0,34
114,2014,Bukit Batok,3-room,160000.0,211000.0,110000.0,161000.0,34
115,2014,Bukit Batok,4-room,259000.0,344000.0,224000.0,309000.0,34
116,2014,Bukit Batok,5-room,350000.0,457000.0,340000.0,447000.0,34
117,2014,Punggol,2-room,82000.0,139000.0,22000.0,79000.0,35
118,2014,Punggol,3-room,166000.0,212000.0,116000.0,162000.0,35
119,2014,Punggol,4-room,278000.0,341000.0,243000.0,306000.0,35
120,2014,Punggol,5-room,334000.0,429000.0,324000.0,419000.0,35
